Na'vi,IPA,Part of speech,English,Audio URL,Audio local URL
lawnol,[ˈlaw.nol],n. ,great joy,https://s.learnnavi.org/audio/vocab/9992.mp3,9992.mp3
lawr,[lawɾ],n. ,melody,https://s.learnnavi.org/audio/vocab/8080.mp3,8080.mp3
layompin,[la.ˈjom.pin],n. ,black,https://s.learnnavi.org/audio/vocab/6596.mp3,6596.mp3
layon,[la.ˈjon],adj. ,black,https://s.learnnavi.org/audio/vocab/5328.mp3,5328.mp3
le'al,[lɛ.ˈʔal],adj. ,wasteful,https://s.learnnavi.org/audio/vocab/10104.mp3,10104.mp3
le'aw,[lɛ.ˈʔaw],adj. ,only,https://s.learnnavi.org/audio/vocab/7876.mp3,7876.mp3
le'awtu,[lɛ.ˈʔaw.tu],adj. ,"alone, on one's own, by one's self; lonely",https://s.learnnavi.org/audio/vocab/11568.mp3,11568.mp3
le'en,[lɛ.ˈʔɛn],adj. ,"speculative, intuitive",https://s.learnnavi.org/audio/vocab/7208.mp3,7208.mp3
le'Ìnglìsì,[lɛ.ˈʔɪŋ.lɪ.sɪ],adj. ,"English, of the English language",https://s.learnnavi.org/audio/vocab/13199.mp3,13199.mp3
lefkeytongay,[lɛ.fkɛj.to.ˈŋaj],adj. ,real,https://s.learnnavi.org/audio/vocab/13011.mp3,13011.mp3
lefkrr,[lɛ.ˈfkṛ],adj. ,current,https://s.learnnavi.org/audio/vocab/6508.mp3,6508.mp3
lefnelan,[lɛ.ˈfnɛ.lan],adj. ,male,https://s.learnnavi.org/audio/vocab/11520.mp3,11520.mp3
lefnele,[lɛ.ˈfnɛ.lɛ],adj. ,female,https://s.learnnavi.org/audio/vocab/11524.mp3,11524.mp3
lefngap,[lɛ.ˈfŋap̚],adj. ,metallic,https://s.learnnavi.org/audio/vocab/5232.mp3,5232.mp3
lefpom,[lɛ.ˈfpom],adj. ,"happy, peaceful, joyous, pleasant",https://s.learnnavi.org/audio/vocab/976.mp3,976.mp3
lefpomron,[lɛ.fpom.ˈɾon],adj. ,healthy (mentally),https://s.learnnavi.org/audio/vocab/10192.mp3,10192.mp3
lefpomtokx,[lɛ.fpom.ˈtok'],adj. ,healthy (physically),https://s.learnnavi.org/audio/vocab/5116.mp3,5116.mp3
lefrir,[lɛ.ˈfɾiɾ],adj. ,layered,https://s.learnnavi.org/audio/vocab/11696.mp3,11696.mp3
leftxozä,[lɛ.ˈft'o.zæ],adj. ,celebratory,https://s.learnnavi.org/audio/vocab/11716.mp3,11716.mp3
leha',[lɛ.ˈhaʔ],adj. ,"appropriate, suitable, fitting",https://s.learnnavi.org/audio/vocab/13224.mp3,13224.mp3
lehawmpam,[lɛ.ˈhawm.pam],adj. ,noisy,https://s.learnnavi.org/audio/vocab/10244.mp3,10244.mp3
lehawng,[lɛ.ˈhawŋ],adj. ,excessive,https://s.learnnavi.org/audio/vocab/4868.mp3,4868.mp3
lehawngkrr,[lɛ.ˈhawŋ.kṛ],adj. ,late,https://s.learnnavi.org/audio/vocab/6272.mp3,6272.mp3
lehìpey,[lɛ.ˈhɪ.pɛj],adj. ,"hesitant, in a state of hesitation",https://s.learnnavi.org/audio/vocab/10800.mp3,10800.mp3
lehoan,[lɛ.ˈho.an],adj. ,comfortable,https://s.learnnavi.org/audio/vocab/10660.mp3,10660.mp3
lehrrap,[lɛ.ˈhṛ.ap̚],adj. ,dangerous,https://s.learnnavi.org/audio/vocab/5924.mp3,5924.mp3
leioae,[lɛ.i.o.ˈa.ɛ],n. ,respect,https://s.learnnavi.org/audio/vocab/8540.mp3,8540.mp3
leioae si,[lɛ.i.o.ˈa.ɛ s·i],vin. ,to respect,https://s.learnnavi.org/audio/vocab/8544.mp3,8544.mp3
lek,[l·ɛk̚],vtr. ,"heed, obey",https://s.learnnavi.org/audio/vocab/3764.mp3,3764.mp3
lekin,[lɛ.ˈkin],adj. ,necessary,https://s.learnnavi.org/audio/vocab/4876.mp3,4876.mp3
lekoren,[lɛ.ko.ˈɾɛn],adj. ,lawlike,https://s.learnnavi.org/audio/vocab/5660.mp3,5660.mp3
lekxan,[lɛ.ˈk'an],adj. ,"blocked, obstructed; frustrated",https://s.learnnavi.org/audio/vocab/13183.mp3,13183.mp3
lekxutslu,[lɛ.ˈk'u.t͡slu],adj. ,risky,https://s.learnnavi.org/audio/vocab/13157.mp3,13157.mp3
lekye'ung,[lɛk.ˈjɛ.ʔuŋ],adj. ,"insane, crazy",https://s.learnnavi.org/audio/vocab/4832.mp3,4832.mp3
lelewng,[lɛ.ˈlɛwŋ],adj. ,shameful (ofp),https://s.learnnavi.org/audio/vocab/13277.mp3,13277.mp3
lelì'fya,[lɛ.ˈlɪʔ.fja],adj. ,"concerning language, regarding language",https://s.learnnavi.org/audio/vocab/7172.mp3,7172.mp3
lemrey,[lɛm.ˈɾɛj],adj. ,surviving (e.g. of entities from a group some of whom have died),https://s.learnnavi.org/audio/vocab/7652.mp3,7652.mp3
lemweypey,[lɛm.ˈwɛj.pɛj],adj. ,patient,https://s.learnnavi.org/audio/vocab/5004.mp3,5004.mp3
len,[l·ɛn],vin. ,"happen, occur",https://s.learnnavi.org/audio/vocab/3768.mp3,3768.mp3
leNa'vi,[lɛ.ˈnaʔ.vi],adj. ,"having to do with the Na'vi, the People",https://s.learnnavi.org/audio/vocab/4644.mp3,4644.mp3
leno,[lɛ.ˈno],adj. ,"thorough, detailorientated (of a person)",https://s.learnnavi.org/audio/vocab/6800.mp3,6800.mp3
lenomum,[lɛ.ˈno.mum],adj. ,curious,https://s.learnnavi.org/audio/vocab/6332.mp3,6332.mp3
lenrra,[lɛ.ˈnṛ.a],adj. ,proud,https://s.learnnavi.org/audio/vocab/9100.mp3,9100.mp3
lepay,[lɛ.ˈpaj],adj. ,watery,https://s.learnnavi.org/audio/vocab/8512.mp3,8512.mp3
lepwopx,[lɛp.ˈwop'],adj. ,cloudy,https://s.learnnavi.org/audio/vocab/7536.mp3,7536.mp3
lepxìmrun,[lɛ.ˈp'ɪm.ɾun],adj. ,"common, often found",https://s.learnnavi.org/audio/vocab/12977.mp3,12977.mp3
ler,[lɛɾ],adj. ,"steady, smooth (for motion)",https://s.learnnavi.org/audio/vocab/10816.mp3,10816.mp3
lereyfya,[lɛ.ˈɾɛj.fja],adj. ,cultural,https://s.learnnavi.org/audio/vocab/10552.mp3,10552.mp3
lerìk,[lɛ.ˈɾɪk̚],adj. ,leafy,https://s.learnnavi.org/audio/vocab/4416.mp3,4416.mp3
lerìn,[lɛ.ˈɾɪn],adj. ,"wooden, of wood",https://s.learnnavi.org/audio/vocab/11220.mp3,11220.mp3
leronsrel,[lɛ.ˈɾon.sɾɛl],adj. ,imaginary,https://s.learnnavi.org/audio/vocab/7288.mp3,7288.mp3
lertu,[ˈlɛɾ.tu],n. ,colleague,https://s.learnnavi.org/audio/vocab/980.mp3,980.mp3
lesar,[lɛ.ˈsaɾ],adj. ,useful,https://s.learnnavi.org/audio/vocab/4336.mp3,4336.mp3
lesar si,[lɛ.ˈsaɾ s·i],vin. ,"be useful, be of use, come in handy",https://s.learnnavi.org/audio/vocab/11712.mp3,11712.mp3
leskxir,[lɛ.ˈsk'iɾ],adj. ,wounded,https://s.learnnavi.org/audio/vocab/7628.mp3,7628.mp3
lesngä'i,[lɛ.ˈsŋæ.ʔi],adj. ,"original, existing at or from the start, first in a series",https://s.learnnavi.org/audio/vocab/8112.mp3,8112.mp3
lesnonrra,[lɛ.sno.ˈnṛ.a],adj. ,full of selfpride,https://s.learnnavi.org/audio/vocab/9112.mp3,9112.mp3
leso'ha,[lɛ.ˈsoʔ.ha],adj. ,"enthusiastic, keen",https://s.learnnavi.org/audio/vocab/8932.mp3,8932.mp3
letam,[lɛ.ˈtam],adj. ,sufficient,https://s.learnnavi.org/audio/vocab/5152.mp3,5152.mp3
letokx,[lɛ.ˈtok'],adj. ,"bodily, physical",https://s.learnnavi.org/audio/vocab/6952.mp3,6952.mp3
letrr,[lɛ.ˈtṛ],adj. ,daily,https://s.learnnavi.org/audio/vocab/984.mp3,984.mp3
letrrtrr,[lɛ.ˈtṛ.tṛ],adj. ,ordinary,https://s.learnnavi.org/audio/vocab/4400.mp3,4400.mp3
letsaktap,[lɛ.ˈt͡sak.tap̚],adj. ,violent,https://s.learnnavi.org/audio/vocab/13137.mp3,13137.mp3
letsim,[lɛ.ˈt͡sim],adj. ,"original, unique, not derived from another source",https://s.learnnavi.org/audio/vocab/8108.mp3,8108.mp3
letskxe,[lɛ.ˈt͡sk'ɛ],adj. ,"stony, of stone",https://s.learnnavi.org/audio/vocab/11224.mp3,11224.mp3
letsranten,[lɛ.ˈt͡sɾan.tɛn],adj. ,important,https://s.learnnavi.org/audio/vocab/5156.mp3,5156.mp3
letsunslu,[lɛ.ˈt͡sun.slu],adj. ,possible,https://s.learnnavi.org/audio/vocab/988.mp3,988.mp3
letswal,[lɛ.ˈt͡swal],adj. ,powerful,https://s.learnnavi.org/audio/vocab/11616.mp3,11616.mp3
letut,[lɛ.ˈtut̚],adj. ,"constant, continual",https://s.learnnavi.org/audio/vocab/13251.mp3,13251.mp3
letwan,[lɛt.ˈwan],adj. ,"dodgy, sneaky (of a person)",https://s.learnnavi.org/audio/vocab/7324.mp3,7324.mp3
letxi,[lɛ.ˈt'i],adj. ,"hurried, frenzied",https://s.learnnavi.org/audio/vocab/8140.mp3,8140.mp3
letxiluke,[lɛ.ˈt'i.lu.kɛ],adj. ,unhurried,https://s.learnnavi.org/audio/vocab/8148.mp3,8148.mp3
lew,[lɛw],n. ,"cover, lid",https://s.learnnavi.org/audio/vocab/4636.mp3,4636.mp3
lew säpi,[ˈlɛw sæ.ˌp·i],vin. ,cover oneself,https://s.learnnavi.org/audio/vocab/13166.mp3,13166.mp3
lew si,[ˈlɛw ˈs·i],vin. ,cover,https://s.learnnavi.org/audio/vocab/3772.mp3,3772.mp3
lewäte,[lɛ.wæ.ˈtɛ],adj. ,"disagreeable, argumentative (of an agent)",https://s.learnnavi.org/audio/vocab/7256.mp3,7256.mp3
leweopx,[lɛ.wɛ.ˈop'],adj. ,wavelike,https://s.learnnavi.org/audio/vocab/11212.mp3,11212.mp3
lewn,[l·ɛwn],vtr. ,"endure, stand, tolerate",https://s.learnnavi.org/audio/vocab/13242.mp3,13242.mp3
lewng,[lɛwŋ],n. ,shame,https://s.learnnavi.org/audio/vocab/13276.mp3,13276.mp3
lewnga',[ˈlɛw.ŋaʔ],adj. ,shameful (nfp),https://s.learnnavi.org/audio/vocab/13278.mp3,13278.mp3
ley,[l·ɛj],vin. ,"be of value, have some positive value, be worth something",https://s.learnnavi.org/audio/vocab/9996.mp3,9996.mp3
leyapay,[lɛ.ˈja.paj],adj. ,"foggy, misty",https://s.learnnavi.org/audio/vocab/7532.mp3,7532.mp3
leye'krr,[lɛ.ˈjɛʔ.kṛ],adj. ,early,https://s.learnnavi.org/audio/vocab/6276.mp3,6276.mp3
leyewla,[lɛ.ˈjɛw.la],adj. ,disappointing,https://s.learnnavi.org/audio/vocab/9288.mp3,9288.mp3
leykek,[lɛj.ˈk·ɛk̚],vtr. ,enforce,https://s.learnnavi.org/audio/vocab/13189.mp3,13189.mp3
leykekyu,[lɛj.ˈkɛk.ju],n. ,"law enforcer, police officer (colloquial, short for horenleykekyu)",https://s.learnnavi.org/audio/vocab/13191.mp3,13191.mp3
leym,[l·ɛjm],vin. ,"call, cry out, exclaim",https://s.learnnavi.org/audio/vocab/10996.mp3,10996.mp3
leymfe',[l·ɛjm.ˈfɛʔ],vin. ,complain,https://s.learnnavi.org/audio/vocab/11164.mp3,11164.mp3
leymkem,[l·ɛjm.ˈkɛm],vin. ,protest,https://s.learnnavi.org/audio/vocab/11152.mp3,11152.mp3
leyn,[l·ɛjn],vtr. ,"repeat, do again",https://s.learnnavi.org/audio/vocab/6776.mp3,6776.mp3
leyr,[lɛjɾ],adj. ,frozen,https://s.learnnavi.org/audio/vocab/11704.mp3,11704.mp3
leyr si,[ˈlɛjɾ s·i],vin. ,freeze (something),https://s.learnnavi.org/audio/vocab/11708.mp3,11708.mp3
leytslam,[ˈlɛj.t͡sl·am],vtr. ,appreciate,https://s.learnnavi.org/audio/vocab/13229.mp3,13229.mp3
lezeswa,[lɛ.ˈzɛ.swa],adj. ,grassy,https://s.learnnavi.org/audio/vocab/9016.mp3,9016.mp3
li,[li],adv. ,already,https://s.learnnavi.org/audio/vocab/7264.mp3,7264.mp3
lì'fya,[ˈlɪʔ.fja],n. ,language,https://s.learnnavi.org/audio/vocab/1000.mp3,1000.mp3
lì'fyaolo',[ˈlɪʔ.fja.o.ˈloʔ],n. ,"language group, language users",https://s.learnnavi.org/audio/vocab/6056.mp3,6056.mp3
lì'fyavi,[ˈlɪʔ.fja.vi],n. ,"expression, bit of language",https://s.learnnavi.org/audio/vocab/5988.mp3,5988.mp3
lì'kong,[ˈlɪʔ.koŋ],n. ,syllable,https://s.learnnavi.org/audio/vocab/11296.mp3,11296.mp3
Li'ona,[li.ˈʔo.na],prop.n. ,Na'vi Clan name,https://s.learnnavi.org/audio/vocab/13059.mp3,13059.mp3
lì'u,[ˈlɪ.ʔu],n. ,word,https://s.learnnavi.org/audio/vocab/996.mp3,996.mp3
lì'ukìng,[ˈlɪ.ʔu.kɪŋ],n. ,sentence,https://s.learnnavi.org/audio/vocab/11288.mp3,11288.mp3
lì'ukìngvi,[ˈlɪ.ʔu.kɪŋ.vi],n. ,phrase,https://s.learnnavi.org/audio/vocab/11292.mp3,11292.mp3
lì'upam,[ˈlɪ.ʔu.pam],n. ,"accent, pronunciation",https://s.learnnavi.org/audio/vocab/6512.mp3,6512.mp3
lì'upe,[ˈlɪ.ʔu.pɛ],inter. ,"what (word, utterance)",https://s.learnnavi.org/audio/vocab/4212.mp3,4212.mp3
lì'upuk,[ˈlɪ.ʔu.puk̚],n. ,dictionary,https://s.learnnavi.org/audio/vocab/9896.mp3,9896.mp3
lì'uvan,[ˈlɪ.ʔu.van],n. ,"pun, wordplay",https://s.learnnavi.org/audio/vocab/8380.mp3,8380.mp3
lì'uvi,[ˈlɪ.ʔu.vi],n. ,affix,https://s.learnnavi.org/audio/vocab/11300.mp3,11300.mp3
lie,[ˈli.ɛ],n. ,experience,https://s.learnnavi.org/audio/vocab/9580.mp3,9580.mp3
lie si,[ˈli.ɛ s·i],vin. ,experience,https://s.learnnavi.org/audio/vocab/11572.mp3,11572.mp3
lìktap,[ˈlɪk.tap̚],adj. ,crooked,https://s.learnnavi.org/audio/vocab/13036.mp3,13036.mp3
lìm,[l·ɪm],svin. ,be far,https://s.learnnavi.org/audio/vocab/140.mp3,140.mp3
lìmsimpe,[ˈlɪm.sim.pɛ],inter. ,"how near, how far",https://s.learnnavi.org/audio/vocab/13007.mp3,13007.mp3
lìng,[l·ɪŋ],vin. ,"float in the air, hover",https://s.learnnavi.org/audio/vocab/6300.mp3,6300.mp3
lìngtskxe,[ˈlɪŋ.t͡sk'ɛ],n. ,unobtanium,https://s.learnnavi.org/audio/vocab/13264.mp3,13264.mp3
lini,[ˈli.ni],n. ,"young of an animal, bird, fish, insect",https://s.learnnavi.org/audio/vocab/9736.mp3,9736.mp3
lipx,[l·ip'],vin. ,drip,https://s.learnnavi.org/audio/vocab/13153.mp3,13153.mp3
lisre+,[ˈli.sɾɛ],adp. ,"by, before, up to but not after",https://s.learnnavi.org/audio/vocab/7268.mp3,7268.mp3
liswa,[li.ˈswa],n. ,nourishment,https://s.learnnavi.org/audio/vocab/11576.mp3,11576.mp3
liswa si,[li.ˈswa s·i],vin. ,"nourish, provide nourishment",https://s.learnnavi.org/audio/vocab/11580.mp3,11580.mp3
litx,[lit'],adj. ,sharp (as a blade),https://s.learnnavi.org/audio/vocab/8604.mp3,8604.mp3
lo'a,[ˈlo.ʔa],n. ,"totem, amulet",https://s.learnnavi.org/audio/vocab/10824.mp3,10824.mp3
Lo'ak,[ˈloʔ.ak̚],prop.n. ,Jake and Neytiri's second born son,https://s.learnnavi.org/audio/vocab/13060.mp3,13060.mp3
Lo'akur,[lo.ʔa.ˈkuɾ],prop.n. ,Toruk Makto Amulet,https://s.learnnavi.org/audio/vocab/13061.mp3,13061.mp3
loho,[ˈl·o.h·o],vin. ,be surprising (experiencer in dative),https://s.learnnavi.org/audio/vocab/12993.mp3,12993.mp3
loi,[ˈlo.i],n. ,egg,https://s.learnnavi.org/audio/vocab/9856.mp3,9856.mp3
lok,[lok̚],adp. ,close to,https://s.learnnavi.org/audio/vocab/4024.mp3,4024.mp3
lok,[l·ok̚],vtr. ,approach,https://s.learnnavi.org/audio/vocab/1008.mp3,1008.mp3
lom,[lom],adj. ,"missing, missed (as an absent person who is longed for)",https://s.learnnavi.org/audio/vocab/7732.mp3,7732.mp3
lomtu,[ˈlom.tu],n. ,missed person,https://s.learnnavi.org/audio/vocab/7748.mp3,7748.mp3
lonu,[l·o.ˈn·u],vtr. ,"release, let go",https://s.learnnavi.org/audio/vocab/1020.mp3,1020.mp3
lonusye,[l·o.ˈn·u.sjɛ],vin. ,exhale; blow,https://s.learnnavi.org/audio/vocab/13207.mp3,13207.mp3
lopx,[l·op'],vin. ,panic,https://s.learnnavi.org/audio/vocab/9020.mp3,9020.mp3
lor,[loɾ],adj. ,"beautiful, pleasant to the senses",https://s.learnnavi.org/audio/vocab/1024.mp3,1024.mp3
loran,[ˈlo.ɾan],n. ,"elegance, grace",https://s.learnnavi.org/audio/vocab/9244.mp3,9244.mp3
loreyu,[lo.ˈɾɛ.ju],n. ,"helicoradian, beautiful spiral",https://s.learnnavi.org/audio/vocab/1028.mp3,1028.mp3
lortsyal,[ˈloɾ.t͡sjal],n. ,shimmyfly,https://s.learnnavi.org/audio/vocab/13023.mp3,13023.mp3
LosÄntsyelesì,[lo.ˈsæn.t͡sjɛ.lɛ.sɪ],prop.n. ,Los Angeles,https://s.learnnavi.org/audio/vocab/10152.mp3,10152.mp3
lrrtok,[ˈlṛ.tok̚],n. ,smile,https://s.learnnavi.org/audio/vocab/1036.mp3,1036.mp3
lrrtok si,[ˈlṛ.tok̚ ˈs·i],vin. ,smile,https://s.learnnavi.org/audio/vocab/1040.mp3,1040.mp3
lu,[l·u],"vin., svin. ","be, am, is, are",https://s.learnnavi.org/audio/vocab/1044.mp3,1044.mp3
luke,[ˈlu.kɛ],adp. ,without,https://s.learnnavi.org/audio/vocab/4060.mp3,4060.mp3
lukftang,[luk.ˈftaŋ],adj. ,"constant, continual",https://s.learnnavi.org/audio/vocab/13252.mp3,13252.mp3
lukpen,[luk.ˈpɛn],adj. ,"without clothing, naked",https://s.learnnavi.org/audio/vocab/7908.mp3,7908.mp3
lumpe,[ˈlum.pɛ],inter. ,why,https://s.learnnavi.org/audio/vocab/1052.mp3,1052.mp3
lun,[lun],n. ,reason,https://s.learnnavi.org/audio/vocab/1048.mp3,1048.mp3
lupra,[ˈlup.ɾa],n. ,style,https://s.learnnavi.org/audio/vocab/10116.mp3,10116.mp3
ma,[ma],part. ,O (vocative marker),https://s.learnnavi.org/audio/vocab/1056.mp3,1056.mp3
maitan,[ma.ˈi.tan],ph. ,my son (form of address),https://s.learnnavi.org/audio/vocab/12991.mp3,12991.mp3
maite,[ma.ˈi.tɛ],ph. ,my daughter (form of address),https://s.learnnavi.org/audio/vocab/12992.mp3,12992.mp3
makto,[ˈm·ak.t·o],vtr. ,ride,https://s.learnnavi.org/audio/vocab/1060.mp3,1060.mp3
mäkxu,[m·æ.ˈk'u],vtr. ,"interrupt, throw out of harmonious balance",https://s.learnnavi.org/audio/vocab/6728.mp3,6728.mp3
mal,[mal],adj. ,"trustworthy, trustinspiring",https://s.learnnavi.org/audio/vocab/8460.mp3,8460.mp3
mam,[m·am],vtr. ,wrap,https://s.learnnavi.org/audio/vocab/12982.mp3,12982.mp3
manawmtu,[ma.ˈnawm.tu],intj. ,"excuse me sir, excuse me madam",https://s.learnnavi.org/audio/vocab/13281.mp3,13281.mp3
manga,[ma.ˈŋa],intj. ,"hey, hey you",https://s.learnnavi.org/audio/vocab/13283.mp3,13283.mp3
masat,[ˈma.sat̚],n. ,breastplate (armor),https://s.learnnavi.org/audio/vocab/7832.mp3,7832.mp3
matsa,[ˈma.t͡sa],n. ,"matsa, crackers",https://s.learnnavi.org/audio/vocab/5472.mp3,5472.mp3
matu,[ma.ˈtu],intj. ,"excuse me, hey",https://s.learnnavi.org/audio/vocab/13282.mp3,13282.mp3
mauti,[ˈma.u.ti],n. ,fruit,https://s.learnnavi.org/audio/vocab/10428.mp3,10428.mp3
maw,[maw],adp. ,after (time),https://s.learnnavi.org/audio/vocab/4028.mp3,4028.mp3
mawey,[ma.ˈwɛj],adj. ,calm,https://s.learnnavi.org/audio/vocab/1068.mp3,1068.mp3
maweypey,[ma.ˈwɛj.p·ɛj],svin. ,be patient (ii),https://s.learnnavi.org/audio/vocab/4996.mp3,4996.mp3
maweypeyyu,[ma.ˈwɛj.pɛj.ju],n. ,One who is patient,https://s.learnnavi.org/audio/vocab/8796.mp3,8796.mp3
mawfwa,[ˈmaw.fwa],conj. ,after,https://s.learnnavi.org/audio/vocab/10076.mp3,10076.mp3
mawkrr,[ˈmaw.kṛ],adv. ,"after, afterwards, later",https://s.learnnavi.org/audio/vocab/5952.mp3,5952.mp3
mawkrra,[maw.ˈkṛ.a],conj. ,after (temporal),https://s.learnnavi.org/audio/vocab/7888.mp3,7888.mp3
mawl,[mawl],n. ,half,https://s.learnnavi.org/audio/vocab/7304.mp3,7304.mp3
mawup,[ˈma.wup̚],n. ,turtapede,https://s.learnnavi.org/audio/vocab/11028.mp3,11028.mp3
may',[m·ajʔ],vtrm. ,"taste, try, sample, evaluate, check out, testdrive",https://s.learnnavi.org/audio/vocab/7596.mp3,7596.mp3
me'em,[mɛ.ˈʔɛm],adj. ,harmonious,https://s.learnnavi.org/audio/vocab/4836.mp3,4836.mp3
mefo,[ˈmɛ.fo],pn. ,"they, those two",https://s.learnnavi.org/audio/vocab/1076.mp3,1076.mp3
mei,[ˈmɛ.i],adj. ,wet,https://s.learnnavi.org/audio/vocab/13151.mp3,13151.mp3
meitayo,[mɛ.i.ˈta.jo],n. ,wetlands,https://s.learnnavi.org/audio/vocab/13152.mp3,13152.mp3
mek,[mɛk̚],adj. ,"empty, or metaphorically: having no value",https://s.learnnavi.org/audio/vocab/8536.mp3,8536.mp3
mekre,[ˈmɛk.ɾɛ],n. ,supplies,https://s.learnnavi.org/audio/vocab/4784.mp3,4784.mp3
mektseng,[ˈmɛk.t͡sɛŋ],n. ,"gap, breach",https://s.learnnavi.org/audio/vocab/9752.mp3,9752.mp3
melo,[ˈmɛ.lo],adv. ,twice,https://s.learnnavi.org/audio/vocab/4372.mp3,4372.mp3
menari,[mɛ.ˈna.ɾi],n. ,eyes (two),https://s.learnnavi.org/audio/vocab/1080.mp3,1080.mp3
meoauniaea,[ˌmɛ.o.a.u.ni.a.ˈɛ.a],n. ,"harmony, living at one with nature",https://s.learnnavi.org/audio/vocab/1084.mp3,1084.mp3
merki,[ˈmɛɾ.ki],n. ,ground rack (for smoking meats),https://s.learnnavi.org/audio/vocab/10604.mp3,10604.mp3
mesrram,[mɛ.sṛ.ˈam],"n., adv. ","the day before yesterday, two days ago",https://s.learnnavi.org/audio/vocab/8968.mp3,8968.mp3
mesrray,[mɛ.sṛ.ˈaj],"n., adv. ","the day after tomorrow, two days from now",https://s.learnnavi.org/audio/vocab/8972.mp3,8972.mp3
mestampe,[mɛ.ˈstam.pɛ],inter. ,what two men,https://s.learnnavi.org/audio/vocab/13116.mp3,13116.mp3
mestepe,[mɛ.ˈstɛ.pɛ],inter. ,what two women,https://s.learnnavi.org/audio/vocab/13124.mp3,13124.mp3
mesupe,[mɛ.ˈsu.pɛ],inter. ,what two people,https://s.learnnavi.org/audio/vocab/13108.mp3,13108.mp3
Metkayina,[mɛt.ka.ˈji.na],prop.n. ,Reef People Clan,https://s.learnnavi.org/audio/vocab/13062.mp3,13062.mp3
meuia,[mɛ.ˈu.i.a],n. ,honor,https://s.learnnavi.org/audio/vocab/1088.mp3,1088.mp3
meuia si,[mɛ.ˈu.i.a s·i],vin. ,honor,https://s.learnnavi.org/audio/vocab/11584.mp3,11584.mp3
meuianga',[mɛ.ˈu.i.a.ŋaʔ],adj. ,"honorable, honorably",https://s.learnnavi.org/audio/vocab/7552.mp3,7552.mp3
meyam,[m·ɛ.ˈj·am],vtr. ,"hug, embrace, hold in one's arms",https://s.learnnavi.org/audio/vocab/8164.mp3,8164.mp3
meyp,[mɛjp̚],adj. ,weak,https://s.learnnavi.org/audio/vocab/1092.mp3,1092.mp3
meyptu,[ˈmɛjp.tu],n. ,weakling,https://s.learnnavi.org/audio/vocab/11588.mp3,11588.mp3
mi,[mi],adv. ,"yet, still, as before",https://s.learnnavi.org/audio/vocab/1096.mp3,1096.mp3
mì+,[mɪ],adp. ,"in, on",https://s.learnnavi.org/audio/vocab/1108.mp3,1108.mp3
mìfa,[ˈmɪ.fa] or [mɪ.ˈfa],"n., adv. ",inside,https://s.learnnavi.org/audio/vocab/4436.mp3,4436.mp3
mìftxele,[mɪ.ˈft'ɛ.lɛ],adv. ,"in this regard, related to this matter",https://s.learnnavi.org/audio/vocab/7920.mp3,7920.mp3
mìkam,[mɪ.ˈkam],adp. ,between,https://s.learnnavi.org/audio/vocab/4032.mp3,4032.mp3
miklor,[mik.ˈloɾ],adj. ,"pleasant sounding, beautiful sounding",https://s.learnnavi.org/audio/vocab/10252.mp3,10252.mp3
miktsang,[ˈmik.t͡saŋ],n. ,earring,https://s.learnnavi.org/audio/vocab/7856.mp3,7856.mp3
mikvä',[mik.ˈvæʔ],adj. ,badsounding,https://s.learnnavi.org/audio/vocab/10256.mp3,10256.mp3
mikyun,[ˈmik.jun],n. ,ear,https://s.learnnavi.org/audio/vocab/1104.mp3,1104.mp3
mìn,[m·ɪn],vin. ,"turn, rotate on an axis",https://s.learnnavi.org/audio/vocab/1112.mp3,1112.mp3
mìnyu,[ˈmɪn.ju],n. ,"turner, twisted lily",https://s.learnnavi.org/audio/vocab/5768.mp3,5768.mp3
mip,[mip̚],adj. ,new,https://s.learnnavi.org/audio/vocab/1100.mp3,1100.mp3
mìso,[mɪ.ˈso],adv. ,away (position),https://s.learnnavi.org/audio/vocab/1116.mp3,1116.mp3
mll'an,[m·ḷ.ˈʔ·an],vtr. ,accept,https://s.learnnavi.org/audio/vocab/8012.mp3,8012.mp3
mllte,[m·ḷ.ˈt·ɛ],vin. ,agree,https://s.learnnavi.org/audio/vocab/1120.mp3,1120.mp3
mo,[mo],n. ,"space, hollow, enclosed open area",https://s.learnnavi.org/audio/vocab/9264.mp3,9264.mp3
mo a fngä',[ˈmo a ˈfŋæʔ],n. ,restroom (on Earth),https://s.learnnavi.org/audio/vocab/10860.mp3,10860.mp3
Mo'ara,[mo.ˈʔa.ɾa],prop.n. ,a valley on Pandora (Note: Also the name of the Disney Pandora location),https://s.learnnavi.org/audio/vocab/13063.mp3,13063.mp3
mo'ara,[mo.ˈʔa.ɾa],n. ,gathering place,https://s.learnnavi.org/audio/vocab/11072.mp3,11072.mp3
Mo'at,[ˈmo.ʔat̚],prop.n. ,tsahìk of the Omatikaya,https://s.learnnavi.org/audio/vocab/13064.mp3,13064.mp3
Mo'at'ite,[ˈmo.ʔat.ʔi.tɛ],prop.n. ,daughter of Mo'at,https://s.learnnavi.org/audio/vocab/13065.mp3,13065.mp3
moe,[ˈmo.ɛ],pn. ,"we two, us two (exclusive)",https://s.learnnavi.org/audio/vocab/1132.mp3,1132.mp3
mok,[m·ok̚],vtr. ,suggest,https://s.learnnavi.org/audio/vocab/6736.mp3,6736.mp3
mokri,[ˈmok.ɾi],n. ,voice,https://s.learnnavi.org/audio/vocab/1136.mp3,1136.mp3
